kata,arti,kelas_kata
menggantang asap,berangan-angan hampa,
menggantang asap,memikirkan (menghendaki) yang bukan-bukan (yang tidak mungkin akan tercapai),
menggantelkan,-,-
mengganti,-,-
mengganti-ganti,-,-
menggantih,-,-
menggantikan,-,-
menggantol,-,-
menggantung,-,-
menggantung talak,-,-
menggantungi,-,-
menggantungkan,-,-
menggantungkan hati,-,-
mengganyah,-,-
mengganyang,-,-
menggaok,-,-
menggapai,-,-
menggapai-gapai,-,-
menggapai-gapaikan,-,-
menggapil,-,-
menggapit,-,-
menggaplok,-,-
menggaploki,-,-
menggarah,-,-
menggaram,-,-
menggarami,-,-
menggaramkan,-,-
menggarang,-,-
menggarangkan,-,-
menggarap,-,-
menggari,-,-
menggaris,-,-
menggarisbawahi,-,-
menggarisi,-,-
menggariskan,-,-
menggarit,-,-
menggaritkan,-,-
menggarong,-,-
menggaru,-,-
menggaruk,-,-
menggaruk-garuk,-,-
menggaruk-garuk kepala,-,-
menggarukkan,-,-
menggarung,-,-
menggarut,-,-
menggasab,-,-
menggasak,-,-
menggasakkan,-,-
menggasing,-,-
menggatalkan,-,-
menggatra,-,-
menggaul,-,-
menggauli,-,-
menggaulkan,-,-
menggaung,-,-
menggaut laba dengan siku,"selalu hendak mencari untung banyak, tidak peduli apakah orang lain akan menderita karena perbuatannya itu",
menggawat,-,-
menggaya,-,-
menggayakan,-,-
menggayuh,-,-
menggayuk,-,-
menggayun,-,-
menggayung,-,-
menggayuti,-,-
menggayutkan,-,-
menggebah,-,-
menggeblak,-,-
menggebok,-,-
menggebos,-,-
menggebot,-,-
menggebrak,-,-
menggebu,-,-
menggebu-gebu,-,-
menggebuk,-,-
menggebuki,-,-
menggebyah-uyah,-,-
menggebyur,-,-
menggecarkan,-,-
menggecek,-,-
menggedor,-,-
menggegar,-,-
menggegarkan,-,-
menggegas,-,-
menggegaskan,-,-
menggeger,-,-
menggegerkan,-,-
menggei,-,-
menggejala,-,-
menggejolak,-,-
menggejos,-,-
menggejoskan,-,-
menggejuju,-,-
menggelabur,-,-
menggeladrah,-,-
menggelakkan,-,-
menggelalar,-,-
menggelamai,-,-
menggelambir,-,-
menggelandang,-,-
menggelandoti,-,-
menggelanggang,-,-
menggelangsar,-,-
menggelantang,-,-
menggelanting,-,-
menggelantung,-,-
menggelap,-,-
menggelapkan,-,-
menggelar,-,-
menggelari,-,-
menggelarkan,-,-
menggelas,-,-
menggelasir,-,-
menggelatak,-,-
menggelatuk,-,-
menggelayut,-,-
menggelebar,-,-
menggeleber,-,-
menggelecik,-,-
menggeledah,-,-
menggeledahi,-,-
menggeledang,-,-
menggeledek,-,-
menggeleding,-,-
menggeledur,-,-
menggelegak,-,-
menggelegakkan,-,-
menggelegar,-,-
menggelek,-,-
menggelekak,-,-
menggelekek,-,-
menggelekkan,-,-
menggelembung,-,-
menggelembungkan,-,-
menggelembur,-,-
menggelendong,-,-
menggelendot,-,-
menggeleng,-,-
menggeleng-gelengkan,-,-
menggelengkan,-,-
menggelenting,-,-
menggelenyar,-,-
menggelepai,-,-
menggelepar,-,-
menggelepar-gelepar,-,-
menggelepar-geleparkan,-,-
menggelepek,-,-
menggelepur,-,-
menggeleser,-,-
menggeleserkan,-,-
menggelesot,-,-
menggeletak,-,-
menggeletakkan,-,-
menggeletar,-,-
menggeletik,-,-
menggeletis,-,-
menggeletuk,-,-
menggeli,-,-
menggeli induk ayam,-,-
menggeliang,-,-
menggeliang-geliutkan,-,-
menggeliat,-,-
menggelibir,-,-
menggelicikkan,-,-
menggeligi,-,-
menggeligis,-,-
menggeligit,-,-
menggelikan,-,-
menggelikan hati,"menjadikan hati geli, menimbulkan rasa lucu",
menggelimangi,-,-
menggelimantang,-,-
menggelimuni,-,-
menggelincir,-,-
menggelincirkan,-,-
menggelinding,-,-
menggelinding-gelinding,-,-
menggelindingkan,-,-
menggelingsir,-,-
menggelinjang,-,-
menggelintar,-,-
menggelinting,-,-
menggelisahi,-,-
menggelisahkan,-,-
menggelitar,-,-
menggelitik,-,-
menggelobok,-,-
menggelodar,-,-
menggelogok,-,-
menggelombang,-,-
menggelompar,-,-
menggelongsor,-,-
menggelontor,-,-
menggelontorkan,-,-
menggelopak,-,-
menggelora,-,-
menggelorakan,-,-
menggelosang,-,-
menggeloso,-,-
menggelosok,-,-
menggelotak,-,-
menggeloyor,-,-
menggelugut,-,-
menggelulur,-,-
menggelundung,-,-
menggelundungkan,-,-
menggelung,-,-
menggelungkan,-,-
menggelup,-,-
menggelupur,-,-
menggelut,-,-
menggeluti,-,-
menggema,-,-
menggemai,-,-
menggemak,-,-
menggemak-gemak,-,-
menggemakan,-,-
menggemal,-,-
menggemari,-,-
menggemarkan,-,-
menggemaskan,-,-
menggembala,-,-
menggembalakan,-,-
menggembar-gemborkan,-,-
menggembel,-,-
menggembirakan,-,-
menggembleng,-,-
menggembok,-,-
menggembol,-,-
menggembos,-,-
menggembosi,-,-
menggemboskan,-,-
menggembung,-,-
menggembungkan,-,-
menggemburkan,-,-
menggembut,-,-
menggemeretakkan,-,-
menggemerincingkan,-,-
menggemik,-,-
menggempakan,-,-
menggemparkan,-,-
menggempita,-,-
menggempur,-,-
menggemuk,-,-
menggemukkan,-,-
menggemulai,-,-
menggemuruh,-,-
menggenang,-,-
menggenangi,-,-
menggenapi,-,-
menggenapkan,-,-
menggencar,-,-
menggencarkan,-,-
menggencat,-,-
menggencet,-,-
menggendaki,-,-
menggendam,-,-
menggendengkan,-,-
menggendong,-,-
menggendut,-,-
menggenduti,-,-
menggendutkan,-,-
menggeneralisasi,-,-
menggeneralisasikan,-,-
menggenggam,-,-
"menggenggam erat, membuhul mati","memegang janji (putusan, nasihat, dan sebagainya) erat-erat",
menggenggam tangan,mengepalkan tangan,
menggenggam tiada tiris,sangat menghemat,
menggenggamkan,-,-
menggenjot,-,-
menggenta,-,-
menggentar,-,-
menggentari,-,-
menggentarkan,-,-
menggentas,-,-
menggentayangi,-,-
menggentel,-,-
menggenteli,-,-
menggenting,-,-
menggentingkan,-,-
menggepit,-,-
menggeprak,-,-
menggera,-,-
menggerabak,-,-
menggerabakkan,-,-
menggeragai,-,-
menggeragap,-,-
menggeragas,-,-
menggeragau,-,-
menggerai,-,-
menggeraikan,-,-
menggerak-gerakkan,-,-
menggerakkan,-,-
menggeram,-,-
menggeramkan,-,-
menggeramus,-,-
menggerang,-,-
menggerantak,-,-
menggerantang,-,-
menggeranyam,-,-
menggerapai,-,-
menggerat,-,-
menggerawat,-,-
menggerawatkan,-,-
menggerayah,-,-
menggerayang,-,-
menggerayangi,-,-
menggerbak,-,-
menggerbang,-,-
menggerbangkan,-,-
menggerbus,-,-
menggerebek,-,-
menggerecak-gerecak,-,-
menggerecok,-,-
menggerecoki,-,-
menggerek,-,-
menggerekkan,-,-
menggerekkan tutur kata ke telinga,selalu memberi nasihat,
menggeremet,-,-
menggerendel,-,-
menggerendeng,-,-
menggerenik,-,-
menggerenyet,-,-
menggerepe,-,-
menggerepek,-,-
menggerepes,-,-
menggeresek,-,-
menggeret,-,-
menggeretang,-,-
menggergaji,-,-
menggeriak,-,-
menggeriak bagai anak nangui,"orang yang beranak banyak, tetapi malas mencari nafkah",
menggeriap,-,-
meng.ge.rib,→ magrib,
menggericau,-,-
menggeridip,-,-
menggerinda,-,-
menggerinjam,-,-
menggerinyau,-,-
menggerisik,-,-
menggerlap,-,-
menggerlip,-,-
menggermang,-,-
menggermut,-,-
menggermuti,-,-
menggero,-,-
menggerobok,-,-
menggerodak,-,-
menggerogoti,-,-
menggerojok,-,-
menggerombol,-,-
menggerompok,-,-
menggeronggang,-,-
menggeropyok,-,-
menggeros,-,-
menggerowot,-,-
menggerowoti,-,-
menggerpol,-,-
menggertak,-,-
menggertakkan,-,-
menggeru,-,-
menggerugut,-,-
menggeruh,-,-
menggeruit,-,-
menggerumit,-,-
menggerumuk,-,-
menggerumuti,-,-
menggerundel,-,-
menggerung,-,-
menggerunkan,-,-
menggerunyam,-,-
menggerupis,-,-
menggerupuk,-,-
menggerupukkan,-,-
menggerus,-,-
menggerutu,-,-
menggerutui,-,-
menggesa,-,-
menggesa-gesakan,-,-
menggesek,-,-
menggesekkan,-,-
menggesel,-,-
menggeser,-,-
menggetah,-,-
menggetah bawang,-,-
menggetang,-,-
menggetap,-,-
menggetar,-,-
menggetarkan,-,-
menggetik,-,-
menggetil,-,-
menggetok,-,-
menggetu,-,-
menggiatkan,-,-
menggibahi,-,-
menggibang,-,-
menggidikkan,-,-
menggigih,-,-
menggigil,-,-
menggigis,-,-
menggigit,-,-
menggigit pangsa,-,-
menggigit-gigit,-,-
menggigiti,-,-
menggila,-,-
menggilakan,-,-
menggilapkan,-,-
menggilas,-,-
menggili,-,-
menggili-gili,-,-
menggiling,-,-
menggilir,-,-
menggimbal,-,-
menggincu,-,-
mengginjal,-,-
menggintir,-,-
menggirangkan,-,-
menggiring,-,-
menggiriskan,-,-
menggisar,-,-
menggisil,-,-
menggites,-,-
menggitik,-,-
menggiurkan,-,-
mengglasir,-,-
mengglobal,-,-
menggobek,-,-
menggocek,-,-
menggocoh,-,-
menggoda,-,-
menggodai,-,-
menggodak,-,-
menggodam,-,-
menggodok,-,-
menggodot,-,-
menggodot-godot,-,-
menggoel,-,-
meng.go.es,→ menggowes,
menggogoh,-,-
menggogok,-,-
menggojlok,-,-
menggojloki,-,-
menggok,-,-
menggolak-galikkan,-,-
menggolek,-,-
menggolek batang terguling,melakukan pekerjaan yang mudah,
menggolekkan,-,-
menggoleng,-,-
menggolok,-,-
menggolong,-,-
menggolongkan,-,-
menggombal,-,-
menggombeng,-,-
menggondeli,-,-
menggondokkan,-,-
menggondol,-,-
menggonggong,-,-
menggonggongi,-,-
menggongseng,-,-
menggonjakkan,-,-
menggonjokkan,-,-
menggonta-ganti,-,-
menggontai,-,-
menggonyakkan,-,-
menggonyeh,-,-
menggonyel,-,-
menggonyoh,-,-
menggorek-gorek,-,-
menggoreng,-,-
menggoreng-goreng,-,-
menggores,-,-
menggores hati,-,-
menggoreskan,-,-
menggorok,-,-
menggosip,-,-
menggosipkan,-,-
menggosok,-,-
menggosok-gosok,-,-
menggosok-gosokkan,-,-
menggosokkan,-,-
menggotes,-,-
menggotong,-,-
menggotong singa,upacara arak-arakan mengantar anak yang akan disunat dengan tarian-tarian yang ditarikan oleh empat penari dan penggotongan singa tiruan yang diduduki oleh anak yang akan disunat,
menggowes,-,-
menggoyahkan,-,-
menggoyak,-,-
menggoyang,-,-
menggoyang lidah,bergoyang lidah,
menggoyang-goyangkan,-,-
menggoyangkan,-,-
menggoyangkan lidah,-,-
menggradasi,-,-
menggranat,-,-
menggrataki,-,-
menggratiskan,-,-
menggraver,-,-
meng.gre.bek,→ menggerebek,
meng.gren.del,→ menggerendel,
menggual,-,-
mengguar,-,-
menggubah,-,-
menggubal,-,-
menggubel,-,-
menggubit,-,-
menggubris,-,-
menggudangkan,-,-
menggugah,-,-
menggugah hati,menimbulkan perasaan dalam hati,
menggugat,-,-
menggugu,-,-
mengguguh,-,-
mengguguk,-,-
menggugupkan,-,-
menggugurkan,-,-
mengguit,-,-
mengguit-guit,-,-
menggula,-,-
menggulai,-,-
mengguling,-,-
menggulingkan,-,-
menggulir,-,-
menggulirkan,-,-
menggulung,-,-
menggulut,-,-
menggumalkan,-,-
menggumam,-,-
menggumbuk,-,-
menggumpal,-,-
menggumpalkan,-,-
menggumuli,-,-
mengguna-guna,-,-
mengguna-gunai,-,-
menggunakan,-,-
mengguncangkan,-,-
menggundahkan,-,-
menggundul,-,-
menggunduli,-,-
menggundulkan,-,-
menggunggung,-,-
menggunjing,-,-
menggunjingkan,-,-
menggunting,-,-
menggunting dalam lipatan,mencelakakan kawan (saudara dan sebagainya) sendiri,
menggunting dalam lipatan,mencelakakan kawan sendiri,
menggunting hati,melukai (menyakiti) hati,
mengguntung,-,-
mengguntur,-,-
menggunturkan,-,-
menggunung,-,-
menggunyam,-,-
menggurah,-,-
mengguram,-,-
menggurat,-,-
mengguraukan,-,-
menggurdi,-,-
menggurik,-,-
menggurit,-,-
menggurita,-,-
mengguruh,-,-
menggurui,-,-
menggusah,-,-
menggusari,-,-
menggusarkan,-,-
menggusel,-,-
menggusrek,-,-
menggusta,-,-
menggusur,-,-
menggutik,-,-
mengguyur,-,-
mengguyurkan,-,-
menggwei,-,-
menghabisi,-,-
menghabiskan,-,-
menghabiskan umur,membuang-buang waktu untuk berbuat yang kurang baik,
menghablur,-,-
menghablurkan,-,-
menghadap,-,-
menghadap surut,menengok ke belakang,
menghadapi,-,-
menghadapkan,-,-
menghadapkan bedil pulang,merugikan (mencelakakan) keluarga sendiri,
menghadiahi,-,-
menghadiahkan,-,-
menghadiri,-,-
menghadirkan,-,-
menghadkan,-,-
menghafal,-,-
menghafalkan,-,-
menghajar,-,-
menghajati,-,-
menghajatkan,-,-
menghajikan,-,-
menghaki,-,-
menghakimi,-,-
menghakkan,-,-
menghala,-,-
menghalai-balaikan,-,-
menghalakan,-,-
menghalalkan,-,-
menghalang,-,-
menghalang-halangi,-,-
menghalangi,-,-
menghalau,-,-
menghaluankan,-,-
menghalusi,-,-
menghaluskan,-,-
menghamba,-,-
menghambai,-,-
menghambakan,-,-
menghambat,-,-
menghambat kerbau berlabuh,mencegah sesuatu yang akan mendatangkan keuntungan atau kesenangan kepada orang,
menghambur,-,-
menghambur-hamburkan,-,-
menghamburi,-,-
menghamburkan,-,-
menghamburkan diri,menerjunkan diri,
menghamburkan jala,menebarkan jala,
menghamburkan kata,mengeluarkan kata banyak-banyak,
menghamburkan kuda,melompatkan kuda,
menghamili,-,-
menghamilkan,-,-
menghampa,-,-
menghampakan,-,-
menghampar,-,-
menghampari,-,-
menghamparkan,-,-
menghampiri,-,-
menghampirkan,-,-
menghamuni,-,-
menghanca,-,-
menghancurkan,-,-
menghancurkan hati,sangat menyedihkan hati,
menghancurleburkan,-,-
menghancurluluhkan,-,-
menghangat,-,-
menghangati,-,-
menghangatkan,-,-
menghangus,-,-
menghanguskan,-,-
menghantam,-,-
menghantamkan,-,-
menghantar,-,-
menghantarkan,-,-
menghantu,-,-
menghantui,-,-
menghanyut,-,-
menghanyutkan,-,-
menghapus,-,-
menghapus arang (di muka),-,-
menghapus buku,-,-
menghapus dosa,"menyucikan diri, mengampuni dosa",
menghapus(kan) arang di muka,menghilangkan malu,
menghapuskan,-,-
mengharakati,-,-
mengharamkan,-,-
mengharap,-,-
mengharapkan,-,-
menghardik,-,-
menghargai,-,-
menghargakan,-,-
mengharimaui,-,-
mengharmonikan,-,-
mengharmonisasi,-,-
mengharmonisasikan,-,-
mengharmoniskan,-,-
mengharu,-,-
mengharu biru,-,-
mengharubirukan,-,-
mengharukan,-,-
mengharum,-,-
mengharumi,-,-
mengharumkan,-,-
mengharuskan,-,-
menghasilkan,-,-
menghasratkan,-,-
menghasta,-,-
menghasta kain sarung,perbuatan yang sia-sia,
menghasta kain sarung,pekerjaan yang tidak kunjung tuntas,
menghasud,-,-
menghasut,-,-
menghauskan,-,-
menghawa,-,-
menghawakan,-,-
menghayati,-,-
mengheban,-,-
menghebat,-,-
menghebatkan,-,-
menghebohkan,-,-
menghegemoni,-,-
menghela,-,-
menghela napas,"menghirup udara ketika bernapas, menarik napas",
menghela surut,"memundurkan, menarik mundur",
menghelakan,-,-
menghelat,-,-
menghemat,-,-
menghemat waktu,menggunakan waktu sebaik-baiknya,
menghembalang,-,-
menghembalangkan,-,-
menghempap,-,-
menghempapkan,-,-
menghempas,-,-
menghempaskan,-,-
menghendaki,-,-
menghendaki urat lesung,menghendaki sesuatu yang tidak mungkin,
menghening,-,-
mengheningkan,-,-
mengheningkan cipta,"bertafakur, diam merenung arwah, bersemadi",
mengheningkan perkara,menjernihkan (menjelaskan) perkara,
menghentikan,-,-
mengherani,-,-
mengherankan,-,-
menghewankan,-,-
menghias,-,-
menghiasi,-,-
menghibahkan,-,-
menghibur,-,-
menghidangkan,-,-
menghidrasi,-,-
menghidrogenasi,-,-
menghidrolisis,-,-
menghidroponikkan,-,-
menghidu,-,-
menghidung,-,-
menghidupi,-,-
menghidupkan,-,-
menghierarkikan,-,-
menghijab,-,-
menghijau,-,-
menghijaukan,-,-
menghijrahkan,-,-
menghikayatkan,-,-
menghilang,-,-
menghilangkan,-,-
menghilir,-,-
menghiliri,-,-
menghilirkan,-,-
meng.him.bau,→ mengimbau,
menghimpun,-,-
menghimpunkan,-,-
menghina,-,-
menghinadinakan,-,-
menghinakan,-,-
menghinap-hinap,-,-
menghindar,-,-
menghindari,-,-
menghindarkan,-,-
menghinggakan,-,-
menghinggapi,-,-
menghinggut,-,-
menghipnosis,-,-
menghipotesiskan,-,-
menghirap,-,-
menghiraukan,-,-
menghiruk,-,-
menghirukkan,-,-
menghirup,-,-
menghisab,-,-
menghisabkan,-,-
menghitam,-,-
menghitam-memutihkan,-,-
menghitami,-,-
menghitamkan,-,-
menghitamkan negeri,meninggalkan tanah tumpah darah dengan maksud tidak akan pulang lagi karena berselisih dengan keluarganya,
menghitamputihkan,-,-
menghitung,-,-
menghitung pajak orang,"penghitungan pajak yang dilakukan oleh seseorang atau badan untuk seorang wajib pajak pada suatu masa pajak, MPO",
menghitung pajak sendiri,"penghitungan pajak yang dilakukan sendiri oleh seorang wajib pajak pada suatu masa pajak, MPS",
menghitung-hitung,-,-
menghitungi,-,-
menghitungkan,-,-
menghomogenkan,-,-
menghomoi,-,-
menghonori,-,-
menghormat,-,-
menghormati,-,-
menghubung-hubungkan,-,-
menghubungi,-,-
menghubungkan,-,-
menghujan,-,-
menghujan-hujankan,-,-
menghujananginkan,-,-
menghujani,-,-
menghujankan,-,-
menghujanpanaskan,-,-
menghujat,-,-
menghukum,-,-
menghukumkan,-,-
menghulu,-,-
menghulukan,-,-
menghuni,-,-
menghunikan,-,-
menghunjam,-,-
menghunjamkan,-,-
menghunjamkan lutut nan dua,berlutut,
menghunjamkan pandang,melayangkan pandangan yang tajam,
menghunus,-,-
menghunuskan,-,-
menghutan,-,-
menghutankan,-,-
mengi,-,-
mengiah,-,-
mengiahkan,-,-
mengiakan,-,-
mengialkan,-,-
mengiang,-,-
mengiang-ngiang,-,-
mengiap,-,-
mengias,-,-
mengiasi,-,-
mengiaskan,-,-
mengiat,-,-
mengibai,-,-
mengibakan,-,-
mengibar-ngibarkan,-,-
mengibaratkan,-,-
mengibarkan,-,-
mengibas,-,-
mengibas-ngibas,-,-
mengibas-ngibaskan,-,-
mengibaskan,-,-
mengibing,-,-
mengiblatkan,-,-
mengibrit,-,-
mengibul,-,-
mengibuli,-,-
mengicip,-,-
mengicu,-,-
mengidah,-,-
mengidahkan,-,-
mengidam,-,-
mengidam-idamkan,-,-
mengidamkan,-,-
mengidap,-,-
mengidapkan,-,-
mengidas,-,-
mengidealisasikan,-,-
mengidealkan,-,-
mengidentifikasi,-,-
mengidentifikasikan,-,-
mengidentikkan,-,-
mengidolakan,-,-
mengidu,-,-
mengidung,-,-
mengidungkan,-,-
mengigal,-,-
mengigau,-,-
mengigaukan,-,-
mengihtimalkan,-,-
mengijabahkan,-,-
mengijabkan,-,-
mengijing,-,-
mengijmalkan,-,-
mengijuk,-,-
mengikal,-,-
mengikalkan,-,-
mengikat,-,-
mengikat hati,"menarik hati, menarik perhatian",
mengikat janji,mengadakan dan menguatkan perjanjian (permufakatan),
mengikat kata,"berjanji, bersumpah",
mengikat mati,ikatan yang tidak dapat dibuka lagi,
mengikat perut,mengurangi makan,
mengikat perut,-,-
mengikat pinggang,-,-
mengikat silaturahmi,bersilaturahmi,
mengikatkan,-,-
mengikhlaskan,-,-
mengikhtiarkan,-,-
mengikhtisarkan,-,-
mengikik,-,-
mengikir,-,-
mengikis,-,-
mengikiskan,-,-
mengiklankan,-,-
mengikrarkan,-,-
mengiktikadkan,-,-
mengikut,-,-
mengikuti,-,-
mengikuti arus,"menurut segala perubahan zaman (tentang mode, kebiasaan, pergaulan)",
mengikutkan,-,-
mengikutsertakan,-,-
mengilah,-,-
mengilah-ngilahkan,-,-
mengilai,-,-
mengilai-ilai,-,-
mengilan,-,-
mengilang,-,-
mengilap,-,-
mengilapkan,-,-
mengilar,-,-
mengilas,-,-
mengilat,-,-
mengilat-ngilatkan,-,-
mengilatkan,-,-
mengilau,-,-
mengiler,-,-
mengiles,-,-
mengilhami,-,-
mengilhamkan,-,-
mengili,-,-
mengili baju,menjahit pinggiran baju,
mengilik-ngilik,-,-
mengiling,-,-
mengilir,-,-
mengilmiahkan,-,-
mengilmukan,-,-
mengilo,-,-
mengilokan,-,-
mengilustrasikan,-,-
mengimajinasikan,-,-
mengimak,-,-
mengimak-imak,-,-
mengimami,-,-
mengimani,-,-
mengimbah,-,-
mengimbak-imbak,-,-
mengimbal,-,-
mengimbali,-,-
mengimbalkan,-,-
mengimbang,-,-
mengimbangi,-,-
mengimbangkan,-,-
mengimbas,-,-
mengimbasi,-,-
mengimbau,-,-
mengimbit,-,-
mengimbuh,-,-
mengimbuhi,-,-
mengimbuhkan,-,-
mengiming-iming,-,-
mengimitasi,-,-
mengimkan,-,-
mengimlakan,-,-
mengimpal,-,-
mengimpas,-,-
mengimpaskan,-,-
mengimpersonasi,-,-
mengimpikan,-,-
mengimpit,-,-
mengimpitkan,-,-
mengimplementasi,-,-
mengimplementasikan,-,-
mengimplikasikan,-,-
mengimplisitkan,-,-
mengimpor,-,-
mengimprovisasi,-,-
mengimprovisasikan,-,-
mengimpus,-,-
mengimunisasi,-,-
mengimunkan,-,-
menginai,-,-
menginang,-,-
menginap,-,-
menginapkan,-,-
mengincah,-,-
mengincar,-,-
mengincau,-,-
mengincitkan,-,-
mengincrit-incrit,-,-
mengincup,-,-
mengindahkan,-,-
mengindang,-,-
mengindekoskan,-,-
mengindeks,-,-
mengindik,-,-
mengindikasikan,-,-
menginding,-,-
mengindoktrinasi,-,-
mengindonesiakan,-,-
mengindra,-,-
mengindraja,-,-
menginduk,-,-
menginduksi,-,-
mengindustrikan,-,-
menginfakkan,-,-
menginfeksi,-,-
menginfiltrasi,-,-
menginfiltrasikan,-,-
menginfokan,-,-
menginformasikan,-,-
menginfus,-,-
mengingari,-,-
mengingarkan,-,-
mengingat,-,-
mengingat-ingat,-,-
mengingati,-,-
mengingatkan,-,-
mengingau,-,-
mengingaukan,-,-
menginggriskan,-,-
mengingini,-,-
menginginkan,-,-
mengingkari,-,-
mengingsar,-,-
mengingsut,-,-
mengingsutkan,-,-
mengingusi,-,-
menginikan,-,-
menginisialkan,-,-
menginisiasi,-,-
menginisiasikan,-,-
menginjak,-,-
menginjak kaki,meletakkan kaki pada,
menginjak kaki,-,-
menginjak tanah,bagian upacara perkawinan yang melambangkan bahwa mempelai laki-laki dan perempuan harus mengikuti jalan hidup yang sama,
menginjak-injak,-,-
menginjakkan,-,-
menginjap,-,-
menginjeksi,-,-
menginjil,-,-
menginkorporasikan,-,-
menginkubasi,-,-
menginovasikan,-,-
menginput,-,-
menginsafi,-,-
menginsafkan,-,-
menginsankan,-,-
menginsinuasi,-,-
menginsinuasikan,-,-
menginsisi,-,-
menginspeksi,-,-
menginspirasi,-,-
menginspirasikan,-,-
menginstal,-,-
menginstalkan,-,-
menginstruksikan,-,-
mengintai,-,-
mengintaikan,-,-
mengintegrasikan,-,-
mengintensifkan,-,-
menginterlokal,-,-
menginternalisasi,-,-
menginternasional,-,-
menginternasionalkan,-,-
menginternir,-,-
menginterogasi,-,-
menginterpelasi,-,-
menginterpolasi,-,-
menginterpretasikan,-,-
menginterupsi,-,-
mengintervensi,-,-
menginterviu,-,-
mengintil,-,-
mengintimi,-,-
mengintimidasi,-,-
mengintip,-,-
mengintroduksi,-,-
mengintroduksikan,-,-
mengintrospeksi,-,-
mengintrusi,-,-
menginvasi,-,-
menginventarisasi,-,-
menginventarisasikan,-,-
menginvestasikan,-,-
menginvestigasi,-,-
mengion,-,-
mengionkan,-,-
mengipaikan,-,-
mengipas,-,-
mengipas-ngipas,-,-
mengipasi,-,-
mengipaskan,-,-
mengipratkan,-,-
mengiprit,-,-
mengipuk,-,-
mengira,-,-
mengira-ngira,-,-
mengira-ngirakan,-,-
mengirabkan,-,-
mengirai,-,-
mengiraikan,-,-
mengirama,-,-
mengiramakan,-,-
mengirap,-,-
mengirap sayap,-,-
mengirapkan,-,-
mengiras,-,-
mengiras-iras,-,-
mengiras-irasi,-,-
mengirasi,-,-
mengirat,-,-
mengiri,-,-
mengirik,-,-
mengirikan,-,-
mengirim,-,-
mengirim konsinyasi,orang yang menitipkan barang dagangan kepada orang lain untuk dijualkan,
mengirimi,-,-
mengirimkan,-,-
mengiring,-,-
mengiringi,-,-
mengiringkan,-,-
mengiris,-,-
mengiris-iris,-,-
mengiriskan,-,-
mengirit,-,-
mengiritasi,-,-
mengisa,-,-
mengisahkan,-,-
mengisai,-,-
mengisap,-,-
"mengisap (mencarak, mencucup) benak",terlalu banyak mengambil keuntungan dari orang lain (mengisap darah),
mengisap bau kopi,mencium bau kopi,
mengisap benak,-,-
mengisap darah,-,-
mengisapkan,-,-
mengisar,-,-
mengisarkan,-,-
mengisas,-,-
mengisatkan,-,-
mengisbatkan,-,-
mengisengi,-,-
mengisi,-,-
mengisi adat,melakukan segala sesuatu yang diharuskan oleh adat,
mengisi gantang pesuk,melakukan pekerjaan yang sia-sia,
mengisi perian bubus,pekerjaan yang sia-sia,
mengisi waktu,melakukan sesuatu untuk merintang-rintang waktu,
mengisik,-,-
mengisikan,-,-
mengisiki,-,-
mengisikkan,-,-
mengislahkan,-,-
mengislamkan,-,-
mengisolasi,-,-
mengisolasikan,-,-
mengisruhkan,-,-
mengistiadatkan,-,-
mengistikmalkan,-,-
mengistilahkan,-,-
mengistimewakan,-,-
mengistirahatkan,-,-
mengistirahatkan diri,melepas lelah,
mengisukan,-,-
mengisut,-,-
mengisutkan,-,-
mengisyaratkan,-,-
mengitar,-,-
mengitar-ngitar,-,-
mengitari,-,-
mengitarkan,-,-
mengitik,-,-
mengitik hati,menggelikan hati,
mengitik-ngitik,-,-
mengiur,-,-
mengizinkan,-,-
mengkaji,-,-
mengkal,-,-
mengkali,-,-
meng.kam.pa.nye.kan,→ mengampanyekan,
meng.kar,→ mekar,
Meng.ka.ra,→ Makara (2),
meng.ka.ran.ti.na,→ mengarantina,
mengkaras,-,-
meng.ka.rung,→ bengkarung,
mengkasara,-,-
meng.ka.te.go.ri.kan,→ mengategorikan,
meng.ka.wan,→ bengkawan,
meng.kel,→ mengkal,
mengkelan,-,-
mengkerang,-,-
meng.ke.rat,→ mengkeret,
mengkeret,-,-
meng.ke.rut,→ mengerut,
mengkhalayak,-,-
mengkhasiati,-,-
mengkhaskan,-,-
mengkhatamkan,-,-
mengkhawatirkan,-,-
mengkhayal,-,-
mengkhayalkan,-,-
mengkhianat,-,-
mengkhianati,-,-
mengkhitan,-,-
mengkhitankan,-,-
mengkhitbah,-,-
mengkhotbahkan,-,-
mengkhusus,-,-
mengkhususkan,-,-
meng.ki.lap,→ kilap,
meng.ki.lat,→ mengilat,
mengking,-,-
mengkirai,-,-
meng.ki.rik,→ kirik (1),
mengkis,-,-
mengklakson,-,-
mengklarifikasi,-,-
mengklasifikasi,-,-
mengklasifikasikan,-,-
mengklaster,-,-
mengklik,-,-
mengklimaks,-,-
mengkliping,-,-
mengkliring,-,-
mengklise,-,-
mengklonakan,-,-
meng.ko.bar.kan,→ mengobarkan,
meng.ko.de.kan,→ mengodekan,
meng.kom.pen.sa.si,→ mengompensasi,
meng.ko.mu.ni.ka.si.kan,→ mengomunikasikan,
mengkona,-,-
meng.kon.di.si.kan,→ mengondisikan,
meng.kon.fir.ma.si,→ mengonfirmasi,
meng.kon.so.li.da.si.kan,→ mengonsolidasikan,
